Character	Middle Chinese (Baxter and Sagart 2014)	Cantonese	Gan	Hakka	Jin	Mandarin	Hokkien	Wu	Xiang
犬	khwen²	hyun2	qyon3	khién	qye1	quǎn	khián	2qyoe	qye3
馬	mæ²	maa5	ma3	mâ	ma2	mǎ	bé/bée/má	3mo/3ma	ma3
西	sej¹	sai1	xi1	sî	xi1	xī	sai/se/si	1xi	xi1
車	tshyæ¹	ce1/geoi1	ca1	chhâ	ce1	chē	chhia/cha/ki	1tsho	che1
車	kjo¹	geoi1	-	kî	-	jū	ku/kir/ki	1jy	-
犭	-	-	-	-	-	quǎn	-	-	-
酉	yuw²	jau5	-	yû	-	yǒu	iú	3hhieu	-
月	ngjwot⁴	jyut6/jyut6	nyyot7	ngie̍t	yeh4	yuè	ge̍h/ge̍rh/goe̍h/gōe/gēr/goa̍t	5hhyq/5hhioq	ye6
愛	ʔoj³	oi3	ngai4	oi	ghai3	ài	ài	2e	ngai4
間	kɛn¹	gaan1	-	kiên	jie1	jiān	keng/kuiⁿ/kaiⁿ/kan	1ke/1ji	gan1/ga1
間	kɛn³	gaan3	-	kam	-	jiàn	kàn	2ji	-
間	-	-	-	-	-	jiǎn	-	-	-
青	tsheng¹	ceng1/cing1	qiang1/qin1	chhiâng/chhîn/chhiang	qi1/qing1	qīng/jīng	chhiⁿ/chheⁿ/seⁿ/chheng/seng	1qin	cin1
青	-	-	-	-	-	-	chhiⁿ	-	-
赤	tshyek⁴	cek3/cik3	-	chhak	-	chì	chhiah/chhek/chhiak	4tshaq	-
赤	-	cek3	-	-	-	-	-	-	-
秋	tshjuw¹	cau1	qiu1	chhiû	qiou1	qiū	chhiu	1qieu	ciou1
朝	trjew¹	ziu1	-	chêu	-	zhāo	tiau	1tsau	zhau1
朝	drjew¹	ciu4	ceu2	chhèu	-	cháo	tiâu	3zau	-
蟻	ngje²	ngai5	-	ngie	i2	yǐ	hiā/hiǎ/gí	3nyi	nyi5/nyi4
狗	kuw²	gau2	gieu3	kiéu	gou2	gǒu	káu/kó͘/kió	2keu	gou3
人	nyin¹	jan4/jan4/jan4	nyin4/liin4	ngìn	reng1	rén	jîn/lîn	3nyin/3zen	ren2
人	-	-	-	-	-	-	lâng	-	-
人	-	-	-	-	-	-	lāng/lǎng/lâng	-	-
水	sywij²	seoi2	sui3	súi	sui2	shuǐ	chúi/súi	2sr	xyei3
蛇	zyæ¹/tha¹	se4	sa4	sà	se1	shé	chôa/siâ	3zo	sha2/she2
蛇	ye¹	ji4	-	-	-	yí	î	-	-
蛇	-	soe4/se4	-	-	-	-	-	-	-
米	mej²	mai5	mi3	mí	mi2	mǐ	bí	3mi	mi3
米	-	mai5/mai5	-	mí	-	mǐ	bí	-	-
零	leng¹/leng³	ling4/leng4/leng4	lin4/liang4	làng	ling1	líng	lêng/lân	3lin	lin2
零	len¹	lin4	-	-	-	lián	-	-	-
漢	xan³	hon3	-	hon	han3	hàn	hàn	2hoe	-
疒	dzrjang¹	cong4/nik6/nak6	-	chhòng	-	chuáng/nè/nì	chhông/le̍k	-	-
氵	-	seoi2	-	-	-	shuǐ	chúi	-	-
魔	mwa¹	mo1/mo4	mo4	mô	me1	mó	mô͘	3mo/3mu	mo2
城	dzyieng¹	sing4/seng4/seng4	sang4/ciin2	sàng	ceng1	chéng	siâⁿ/sêng	3zen	zhen2
僕	buwk⁴	buk6	-	phuk/phu̍k	pah5/peh5	pú	po̍k	5boq	pu6
君	kjun¹	gwan1	jyn1	kiûn	jyng1	jūn	kun	1jyn	jyn1
姫	-	-	-	-	-	zhěn	-	-	-
今	kim¹	gam1	jin1	kîm	jing1	jīn	kin/kim	1jin	jin1
今	-	-	-	-	-	-	taⁿ	-	-
一	ʔit⁴	jat1	it6	yit	ieh4	yī	it/et	4iq	i6
一	-	-	-	-	-	-	chi̍t/che̍t	-	-
一	-	-	-	-	-	yí	-	-	-
損	swon²	syun2	-	sún	-	sǔn	sún/sńg/súiⁿ	-	-
空	khuwng¹	hung1	kung1	khûng	kung1/kung3	kōng	khang/khong	1khon	kong1/kong4
空	khuwng³	hung1/hung3	-	khung	-	kòng	khòng/khàng	2khon	-
空	-	-	-	-	-	kǒng	-	-	-
底	tej²	dai2	-	tái/tí	di2	dǐ	tóe/té/tére/tí	2ti	-
底	-	-	-	-	-	de	-	-	-
底	-	-	-	-	-	-	tī/tǐ	-	-
象	zjang²	zoeng6	xiong5	siong	xion3	xiàng	chhiūⁿ/chhiǔⁿ/chhiōⁿ/chhiāuⁿ/siōng/sióng/siǒng/chhiāng	3xxian	sian4
層	dzong¹	cang4	-	chhèn	-	céng	chn̂g/chêng/chân/chàn	3zen	-
士	dzri²	si6	si5	sṳ	si3	shì	sū/sǐr/sǐ	3zr	sr4
千	tshen¹	cin1	qien1	chhiên	qie1	qiān	chheng/chhuiⁿ/chhian	1qi	cienn1
百	pæk⁴	baak3	bah6/bet6	pak	bai2/bieh4	bǎi/bó	pah/peh/peeh/pek/piak	4paq	be6
十	dzyip⁴	sap6	siit7	sṳ̍p	seh5	shí	cha̍p/si̍p/se̍p	5zeq	shr6
億	ʔik⁴	jik1	i4	yi/yit	i3	yì	ek/iak	3hhi	i4
丨	kwon²	gwan2	-	kun	-	gǔn	kún	-	-
丶	trju²	zyu2	-	chú	-	zhǔ	chú	-	-
丿	phet⁴	pit3	-	phiet	-	piě	phiat	-	-
丿	yej³	-	-	-	-	yì	-	-	-
乙	ʔit⁴	jyut3/jyut6	-	yet	-	yǐ	it	4iq	-
亅	gjwot⁴	kyut3	-	khiet/kiet	-	jué	koa̍t	-	-
二	nyij³	ji6	eo5	ngi	er3	èr	jī/lī/gī	3nyi/3hher	e5
亠	-	tau4	-	-	-	tóu	thiô	-	-
入	nyip⁴	jap6	liit6	ngi̍p	rueh4	rù	ji̍p/li̍p	5zeq/5nyiq	y6
八	pɛt⁴	baat3	bat6	pat	bah4	bā	poeh/peh/piē/pat	4paq	ba6
八	pɛt⁴	-	-	-	-	bā	-	-	-
冂	mek⁴	gwing1	-	koén/koên	-	jiōng	keng	-	-
伝	-	wan4	-	-	-	yún	-	-	-
冫	ping¹	bing1	-	pên	-	bīng	peng	-	-
丁	teng¹	ding1	diang1	tên	ding1	dīng	teng	1tin	din1
丁	trɛng¹	zaang1/zang1	-	-	-	zhēng	-	-	-
村	tshwon¹	cyun1	-	chhûn	-	cūn	chhun/chhoan/chhng	1tshen	-
紋	mjun¹	man4	-	vùn	-	wén	bûn	3ven	-
激	kek⁴	gik1	jit6	kie̍p/kit	jieh4	jī	kek/kiak	4jiq	ji6
激	kew³	-	-	-	-	jiào	-	-	-
界	kɛj³	gaai3	-	kie	-	jiè	kài/kè/kòe	2ka	-
章	tsyang¹	zoeng1	zong1	chông	zan1	zhāng	chiuⁿ/chioⁿ/chiong/chiang	1tsaan	zhan1
編	pen¹	pin1	-	phiên	-	biān	phian/pian/piⁿ/pīⁿ	1pi	-
神	zyin¹	san4	siin1	sṳ̀n	seng1	shén	sîn	3zen	sen2
神	-	san1	-	-	-	shēn/shén	-	-	-
三	sam¹	saam1	san1	sâm	san1	sān	saⁿ/sam	1se	san1
三	sam³	saam3/saam1	-	-	-	sān/sàn	sàm	-	-
四	sij³	sei3/si3	si4	si	si3	sì	sì/sù/sìr	2sr	sr4
五	ngu²	ng5	ng3/u3	ńg	vu2	wǔ	gō͘/gǒ͘/ňg/ngó͘/gó͘/gú	3hhngg/2u	u3
六	ljuwk⁴	luk6	liuh6/liuh7	liuk	liou3/lueh4	liù/lù	la̍k/lio̍k	5loq	lou6
七	tshit⁴	cat1	qit6	chhit	qieh4	qī	chhit/chhiak	4qiq	qi6
九	kjuw²	gau2	jiu3	kiú	jiou2	jiǔ	káu/kiú	2jieu	jiou3
万	mjwon³	mak6/maak6	-	-	-	mò	-	-	-
最	tswaj³	zeoi3	zui4	chui	zui3	zuì	chòe	2tsoe	zei4
近	gjɨn²	kan5/gan6	qin5	khiun/khiûn	jing3	jìn	kūn/kǔn/kīn/kīrn	3jjin	jin5/jin4
烈	ljet⁴	lit6	-	lie̍t	-	liè	lia̍t/le̍t/liat	5liq	-
造	dzaw²	zou6	cau5	chho	cau3	zào	chō/chǒ/chǒ͘	3zau	cau4/zau5
造	tshaw³	cou3	-	-	-	zào/cào	-	-	-
造	-	cou5	-	-	-	zào	-	-	-
造	-	-	-	-	-	zào	-	-	-
刀	taw¹	dou1	dau1	tô	dau1	dāo	to	1tau	dau1
刀	-	-	-	-	-	dāo	-	-	-
萬	mjwon³	maan6	uan5	van	van3	wàn	bān	3me/3ve	-
何	ha¹	ho4	-	hò	-	hé	hô/hô͘/ôa	3hhu/3hha	-
何	ha²	ho6	-	-	-	hè	-	-	-
何	-	ho1	-	-	-	hē	-	-	-
心	sim¹	sam1	xin1	sîm	xing1	xīn	sim	1xin	sin1
日	nyit⁴	jat6	nyit6	ngit	reh4	rì	li̍t/le̍t/ji̍t/gi̍t	5nyiq/5zeq	nyi6/r6
日	-	-	-	-	reh4	rì	-	-	-
日	-	mik6	-	-	-	mì	-	-	-
白	bæk⁴	baak6	pah7/pet6	pha̍k	bai1/bieh5	bái/bó	pe̍h/pe̍eh/pe̍k/pia̍k	5baq	be6
年	nen¹	nin4	nyien4	ngièn	nie1	nián	nî/liân	3nyi	nyienn2
曜	yew³	jiu6	-	-	-	yào	iāu	-	-
円	-	jen1	-	-	-	yuán/rìyuán	-	-	-
南	nom¹	naam4	lan4	nàm	nan1	nán	lâm	3noe	lan2
南	-	naa1	-	-	-	nā/ná	-	-	-
東	tuwng¹	dung1	dung1	tûng	dung1	dōng	tang/tong	1ton	dong1
北	pok⁴	bak1	bet6	pet	bei2/bieh4	běi/bò	pak/pok	4poq	be6
北	-	bui3	-	-	-	bèi	-	-	-
文	mjun¹	man4/man4	un4	vùn	veng1	wén	bûn	3ven	un2
文	-	man6	-	-	-	wén/wèn	-	-	-
森	srim¹	sam1	sen1	sêm	seng1	sēn/shēn	sim/serm/sem/som	1sen	sen1
酒	tsjuw²	zau2	jiu3	chiú	-	jiǔ	chiú	2jieu	ziou3
火	xwa²	fo2	fo3	fó	hue2	huǒ	hé/hér/hóe/hóⁿ	2hu	ho3
柄	pjæng³	beng3/bing3	-	-	-	bǐng/bìng	pìⁿ/pèⁿ/pèng	-	-
中	trjuwng¹	zung1	zung1	chûng/tûng	zung1	zhōng	tiong/tng/teng/thang	1tson	zhong1
中	trjuwng³	zung3	zung4	chung	zung3	zhòng	tiòng/tèng/thàng	2tson	zhong4
雨	hju²	jyu5	y3	yí	y2	yǔ	hō͘/hǒ͘/ú/í	3hhy	y3
雨	hju³	jyu6	-	-	-	yù	-	-	-
㐁	thom³	tim2	-	-	-	tiàn	-	-	-
㐆	ʔjɨj¹	zaan2	-	-	-	yǐn	-	-	-
㐌	-	ji4	-	-	-	yí	-	-	-
㐖	-	-	-	-	-	xié	-	-	-
㐨	-	zeoi6	-	-	-	xù	-	-	-
㐩	-	zing4	-	-	-	xíng	-	-	-
㐭	lim²	-	-	-	-	lǐn	-	-	-
㐱	tsyin²	can2	-	-	-	zhěn	-	-	-
㐲	daj³	daai6	-	-	-	dài	-	-	-
㐸	khjæm³	gim1/him3	-	-	-	qiàn	-	-	-
㐸	-	-	-	-	-	cì	-	-	-
㐻	-	fu1/mou5/noi6	-	-	-	nèi	-	-	-
㐼	-	cing2	-	-	-	chèng/zhěng	-	-	-
㑀	㑁	trwit⁴	zyut3/zyut6	-	-	-	zhuō	-	-	-
㑂	-	fong2/pong4	-	-	-	fǎng/páng	-	-	-
㑃	ʔæw³	au2/au3/paai1	-	-	-	ǎo	-	-	-
㑉	sjuwk⁴	cuk1	-	-	-	sù	-	-	-
㑊	-	jik6	-	-	-	yì	-	-	-
㑋	-	kung4	-	-	-	qióng	-	-	-
㑌	-	-	-	-	-	kuāng	-	-	-
㑍	-	leoi5	-	-	-	lèi/lěi	-	-	-
㑎	-	nou5	-	-	-	nǎo	-	-	-
㑐	-	suk1	-	-	-	shū	-	-	-
㑓	-	zeon3	-	-	-	jùn	-	-	-
㑗	syin¹	saan1/saan6	-	-	-	shēn	-	-	-
㑙	tep⁴	dip6	-	-	-	dié/yǒng	-	-	-
㑚	-	naa4/no4	-	-	-	nuó	-	-	-
㑚	-	-	-	-	-	-	-	3na	-
㑛	suwk⁴	cuk1	-	-	-	sù	-	-	-
