Character	Middle Chinese (Baxter and Sagart 2014)	Cantonese	Gan	Hakka	Jin	Mandarin	Hokkien	Wu	Xiang
犬	kʰwen²	hyːn˧˥	t͡ɕʰy̯ɵn˨˩˧	kʰi̯en˧˩	t͡ɕʰy̯e˩˩	t͡ɕʰy̯ɛn˨˩	kʰi̯ɛn˥˩	t͡ɕʰy̯ø˧˦	t͡ɕʰy̯e̞˦˩
馬	mæ²	maː˩˧	ma˨˩˧	ma˨˦	ma˥˧	ma˨˩	be˥˩/bɛ˥˩/ma˥˩	mo˨˧/ma̱˨˧	ma̠˦˩
西	sej¹	sɐi̯˥	ɕi˦˨	ɕi˨˦	ɕi˩˩	ɕi˥	sai̯˥/se˥/ɕi˥	ɕi˥˧	ɕi˧˧
車	t͡ɕʰæ¹	t͡sʰɛː˥/kɵy̯˥	t͡sʰa˦˨	t͡sʰa˨˦	t͡sʰɤ˩˩	ʈ͡ʂʰɤ˥	t͡ɕʰi̯a˥/t͡sa˥/ki˥	t͡sʰo˥˧	ʈ͡ʂʰɤ̞˧˧
車	kjo¹	kɵy̯˥	-	ki˨˦	-	t͡ɕy˥	ku˥/kɨ˥/ki˥	t͡ɕy˥˧	-
酉	juw²	jɐu̯˩˧	-	i̯u˨˦	-	i̯oʊ̯˨˩	i̯u˥˩	ɦi̯ɜ˨˧	-
月	ŋjwot⁴	jyːt˨/jyːt˨	ɲy̯ɵt˨	ɲi̯et˥	y̯əʔ˨	y̯ɛ˥˩	geʔ˥/gɘʔ˥/gu̯eʔ˥/gu̯e˨/gu̯e˧/gɘ˧/gu̯at˥	ɦy̯ɪʔ˩˨/ɦi̯ʊʔ˩˨	y̯e̞˨˦
愛	ʔoj³	ɔːi̯˧	ŋai̯˧˥	oi̯˥	ɣai̯˦˥	ai̯˥˩	ai̯˧˩	e̞˧˦	ŋai̯˦˥
間	kɛn¹	kaːn˥	-	ki̯en˨˦	t͡ɕi̯e˩˩	t͡ɕi̯ɛn˥	ki̯əŋ˥/kũ̯ĩ˥/kãĩ̯˥/kan˥	ke̞˥˧/t͡ɕi˥˧	kan˧˧/ka̠˧˧
間	kɛn³	kaːn˧	-	kam˥	-	t͡ɕi̯ɛn˥˩	kan˧˩	t͡ɕi˧˦	-
青	t͡sʰeŋ¹	t͡sʰɛːŋ˥/t͡sʰɪŋ˥	t͡ɕʰi̯aŋ˦˨/t͡ɕʰin˦˨	t͡ɕʰi̯aŋ˨˦/t͡ɕʰin˨˦/t͡ɕʰi̯aŋ˥	t͡ɕʰi˩˩/t͡ɕʰĩŋ˩˩	t͡ɕʰiŋ˥	t͡ɕʰĩ˥/t͡sʰẽ˥/sẽ˥/t͡ɕʰi̯əŋ˥/ɕi̯əŋ˥	t͡ɕʰɪɲ˥˧	t͡sʰin˧˧
赤	t͡ɕʰek⁴	t͡sʰɛːk˧/t͡sʰɪk˧	t͡sʰz̩it˥/t͡sʰaʔ˥	t͡sʰak˨	-	ʈ͡ʂʰz̩˥˩	t͡ɕʰi̯aʔ˧/t͡ɕʰi̯ək˧/t͡ɕʰi̯ak˧	t͡sʰa̱ʔ˥	-
